name,ring,quadrant,isNew,description,MoH_Used
Kubernetes,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications. Managed Kubernetes services are available through all major public cloud providers. IIT and OCIO are assessing interopablity between on premise Openshift and public cloud Kubernetes.</p>",y
Microsoft Windows,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Microsoft Windows is Microsoft's flagship operating system. Windows is primarily used in IIT for COTS based applications where Linux is not supported.</p>,n
Openshift,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle. Openshift is the defacto platform for IIT's DevOps initiatives. Migrating to Openshift 4 in fall 2020.</p>",y
Red Hat Linux,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Red HatÃ‚Â® Enterprise LinuxÃ‚Â® is one of the most popular Linux platforms, and the favored Linux platform offered by our hosting provider DXC. ItÃ¢â‚¬â„¢s the foundation from which you can scale existing appsÃ¢â‚¬â€and roll out emerging technologiesÃ¢â‚¬â€across bare-metal, virtual, container, and all types of cloud environments.</p>",n
Java,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Java is a class-based, object-oriented and general purpose programming language. Add IIT Context.</P>",y
JavaScript,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>JavaScript is an interpreted scripting language often used to implement complex features in web applications. Add IIT Context.</P>,n
Node.js,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Node.js is an open-source, cross-platform, JavaScript runtime environment (Framework) that executes JavaScript code outside a web browser. Node.js represents a ""JavaScript everywhere"" paradigm unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts. Need IIT context.>/p>",y
Java Server Faces,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>The OpenAPI Specification, originally known as the Swagger Specification, is a specification for machine-readable interface files for describing, producing, consuming, and visualizing RESTful web services. Originally part of the Swagger framework it became a separate project in 2016. IIT considers the OpenAPI specification the defacto method of describing RESTful API's.</P>",n
Python,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Python is a clear, general purpose and object-orientated programming language, comparable to Perl, Ruby or Java. Add IIT Context.</P>",y
OpenJDK (RedHat),Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>IIT direction is Migrate all Java dependencies from Oracle JDK to OpenJDK. Upgrade all older versions to at least JDK8, but preference is to move to a minumm of JDK 11.</P>",n
Vue.js,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications. IIT architecture does not promote a single javascipt framework over another and is as a local development project decision. Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>",y
Vault,Employ,"Development, Test and Release Tools",TRUE,"<p> HashiCorp Vault provides capabilities to secure, store and tightly control access to tokens, passwords, certificates, encryption keys for protecting credentials and other sensitive data using a UI, CLI, or HTTP API. </p>",n
Dell Object Store,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p> Object Storage Service is for Ministry Clients (Hosted within Government DataCentres) to store data as objects using standard protocols including S3, NFS, and HTTP </p>",y
Microsoft OneDrive,Employ,"Development, Test and Release Tools",TRUE,<p> File hosting service and synchronization service operated by Microsoft which BC Government is utilizing </p>,n
MFA (MultiFactor Authentication),Employ,"Development, Test and Release Tools",TRUE,"<p> BC Government MFA through Microsoft for extra security logging into Government Microsoft 365 products (OneDrive, Teams, Word Online, Excel Online, etc). Commonly implemented via Microsoft Authenticator Phone Application. </p>",y
Let's Encrypt,Employ,"Development, Test and Release Tools",TRUE,<p> Automated Certificate managment </p>,n
Camel,Employ,"Languages, Frameworks, and Platforms",FALSE,<p> Integration Boker for Health Business Services </p>,y
Sentry,Employ,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://sentry.io/"">Sentry</a></strong> has become the default choice for many of our teams when it comes to front-end error reporting. The convenience of features like the grouping of errors or defining patterns for discarding errors with certain parameters helps deal with the flood of errors coming from many end user devices. Integrating Sentry in your CD pipeline allows you to upload source maps for more efficient error debugging, and it helps easily trace back which errors occurred in which version of the software. We also appreciate that while Sentry is primarily a SaaS offering, its source code is publicly available and it can be used for free for smaller use cases and <a href=""https://develop.sentry.dev/self-hosted/"">self-hosting</a>.</p>",n
Combine,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>A long time ago we placed <a href=""/radar/languages-and-frameworks/reactivex"">ReactiveX</a> — a family of open-source frameworks for reactive programming — into the Adopt ring of the Radar. In 2017, we mentioned the addition of <a href=""https://github.com/ReactiveX/RxSwift"">RxSwift</a>, which brought reactive programming to iOS development using Swift. Since then, Apple has introduced its own take on reactive programming in the form of the <a href=""https://developer.apple.com/documentation/combine""><strong>Combine</strong></a> framework. Combine has become our default choice for apps that support iOS 13 as an acceptable deployment target. It's easier to learn than RxSwift and integrates really well with <a href=""/radar/languages-and-frameworks/swiftui"">SwiftUI</a>. If you're planning to convert an existing application from RxSwift to Combine or work with both in the same project, you might want to look at <a href=""https://github.com/CombineCommunity/RxCombine"">RxCombine</a>.</p>",y
LeakCanary,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Our mobile teams now view <strong><a href=""http://github.com/square/leakcanary"">LeakCanary</a></strong> as a good default choice for Android development. It detects annoying memory leaks in Android apps, is extremely simple to hook up and provides notifications with a clear trace-back to the cause of the leak. LeakCanary can save you tedious hours troubleshooting out-of-memory errors on multiple devices, and we recommend you add it to your toolkit.</p>",n
Oracle Enterprise Manager,Employ,Common Services,FALSE,<p>Oracle Enterprise Manager (OEM) is a set of web-based tools aimed at managing software and hardware produced by Oracle Corporation as well as by some non-Oracle entities.</p>,y
ServiceNow,Employ,Common Services,FALSE,<p>Service Now is a leading ITSM tool used by help desk and the Access Team</p>,n
Splunk,Employ,Common Services,FALSE,"<p>Splunk is software for searching, monitoring, and analyzing machine-generated data via a Web-style interface.</p>",y
Squid,Employ,Common Services,FALSE,"<p>Squid is a caching and forwarding HTTP web proxy. It has a wide variety of uses, including speeding up a web server by caching repeated requests, caching web, DNS and other computer network lookups for a group of people sharing network resources, and aiding security by filtering traffic</p>",n
Dataguard,Employ,Common Services,FALSE,,y
CHEFS,Employ,Common Services,FALSE,,n
Sharepoint,Employ,Common Services,FALSE,,y
Chef,Employ,"Development, Test and Release Tools",TRUE,<p>Chef is an open source systems management and cloud infrastructure automation platform</p>,n
CMDBuild,Employ,"Development, Test and Release Tools",TRUE,"<p>CMDBuild is a Configuration Managment System - it can be used to track the status of individual IT infrastructure components (often called Configuration Items, or CIs) and their relationships</p>",y
Confluence,Employ,"Development, Test and Release Tools",TRUE,<p>Atlassian Confluence is a knowledge management system</p>,n
Docker,Employ,"Development, Test and Release Tools",TRUE,<p>Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. </p>,y
Git,Employ,"Development, Test and Release Tools",FALSE,<p>Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency</p>,n
Github Actions,Employ,"Development, Test and Release Tools",FALSE,"<p>GitHub Actions is a continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline</p>",y
Jira,Employ,"Development, Test and Release Tools",FALSE,<p>Jira is a issue tracking product developed by Atlassian that allows bug tracking and agile project management.</p>,n
JUnit,Employ,"Development, Test and Release Tools",TRUE,<p>JUnit is a unit testing framework for the Java programming language. </p>,y
Mockito,Employ,"Development, Test and Release Tools",FALSE,<p>Mockito is a testing framework for the Java programming language. </p>,n
pgAdmin,Employ,"Development, Test and Release Tools",FALSE,<p>User interface to manage Postegres databases</p>,y
Selenium,Employ,"Development, Test and Release Tools",FALSE,<p> Selenium is a portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language</p>,n
Talend,Employ,"Development, Test and Release Tools",FALSE,"<p>Talend is an ETL tool for Data Integration. It provides software solutions for data preparation, data quality, data integration, application integration, data management and big data</p>",y
Terraform,Employ,"Development, Test and Release Tools",TRUE,"<p>Terraform is an open-source infrastructure as code software tool that enables you to safely and predictably create, change, and improve infrastructure.</p>",n
Toad,Employ,"Development, Test and Release Tools",FALSE,"<p>Toad is a database management toolset from Quest Software for managing relational and non-relational databases using SQL aimed at database developers, database administrators, and data analysts.</p>",y
Apache HTTP Server,Employ,Execution Environments,FALSE,<p>The Apache HTTP Server is a free and open-source cross-platform web server software</p>,n
AWS Elastic Beanstalk,Employ,Execution Environments,TRUE,"<p>AWS Elastic Beanstalk is an orchestration service offered by Amazon Web Services for deploying applications which orchestrates various AWS services, including EC2, S3, Simple Notification Service, CloudWatch, autoscaling, and Elastic Load Balancers.</p>",y
AWS Fargate,Employ,Execution Environments,TRUE,,n
AWS RDS,Employ,Execution Environments,TRUE,"<p>Amazon Relational Database Service (RDS) is a collection of managed services that makes it simple to set up, operate, and scale databases in the cloud.</p>",y
HAProxy,Employ,Execution Environments,FALSE,"<p>HAProxy is a free, very fast and reliable solution offering high availability, load balancing, and proxying for TCP and HTTP-based applications.</p>",n
Wildfly (JBoss),Employ,Execution Environments,FALSE,"<p>WildFly, formerly known as JBoss AS, or simply JBoss, is an application server authored by JBoss, now developed by Red Hat. WildFly is written in Java and implements the Java Platform, Enterprise Edition specification.</p>",y
MariaDB,Employ,Execution Environments,FALSE,"<p>MariaDB is a community-developed, commercially supported fork of the MySQL relational database management system</p>",n
MongoDB,Employ,Execution Environments,FALSE,<p>MongoDB is a source-available cross-platform document-oriented database program.</p>,y
MS IIS,Employ,Execution Environments,FALSE,"<p>Internet Information Services is an extensible web server software created by Microsoft for use with the Windows NT family. IIS supports HTTP, HTTP/2, HTTPS, FTP, FTPS, SMTP and NNTP.</p>",n
Oracle Database,Employ,Execution Environments,FALSE,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by MoH and continues to be a supported platform. The Oracle database is licensed by the number of cores on the hosting server.</p>,y
Solr,Employ,Execution Environments,FALSE,"<p>Solr is an open-source enterprise-search platform, written in Java. Its major features include full-text search, hit highlighting, faceted search, real-time indexing, dynamic clustering, database integration, NoSQL features and rich document handling</p>",n
Weblogic,Employ,Execution Environments,FALSE,<p>Oracle WebLogic Server is a Java EE application server currently developed by Oracle Corporation.</p>,y
Websphere,Employ,Execution Environments,FALSE,<p>WebSphere application server is a software framework and middleware that hosts Java-based web applications. It is the flagship product within IBM's WebSphere software suite.</p>,n
Angular,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>Angular is a platform for building mobile and desktop web applications</p>,y
Bootstrap,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>Bootstrap is a free and open-source CSS framework directed at responsive, mobile-first front-end web development.</p>",n
Cobol,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>COBOL is a compiled English-like computer programming language designed for business use</p>,y
Crystal Reports,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Crystal Reports is a business intelligence application marketed to small- and medium-sized businesses by SAP</p>,n
EJB3,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Jakarta Enterprise Beans (EJB; formerly Enterprise JavaBeans) is one of several Java APIs for modular construction of enterprise software. EJB is a server-side software component that encapsulates business logic of an application</p>,y
Drupal,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Drupal is a free and open-source web content management system (CMS) written in PHP</p>,n
Initiate,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>IBM Initiate is a enterprise master patient index, which ensures patient data is correct and consistent throughout the organization regardless of which system is being updated</p>",y
MicroStrategy BI,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>MicroStrategy is an enterprise business intelligence (BI) application that supports interactive dashboards, scorecards, highly formatted reports, ad hoc query, thresholds and alerts, and automated report distribution.</p>",n
Moodle,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>Moodle is a free and open-source learning management system written in PHP and distributed under the GNU General Public License.</p>,y
OpenSSL,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>OpenSSL is a software library for applications that secure communications over computer networks against eavesdropping or need to identify the party at the other end. It is widely used by Internet servers, including the majority of HTTPS websites.</p>",n
Perl,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>Perl is a high-level, general-purpose, interpreted, dynamic programming language.</p>",y
PHP,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>PHP is a general-purpose scripting language geared towards web development.</p>,n
React.JS,Employ,"Languages, Frameworks, and Platforms",FALSE,<p>React is a free and open-source front-end JavaScript library for building user interfaces or UI components. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications.</p>,y
PowerBI,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>PowerBI is a Microsoft BI Product</p>,n
Salesforce,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p> Salesforce provides customer relationship management service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.</p>",y
Spring Boot,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>Spring Boot is an open source Java-based framework</p>,n
SAS,Employ,"Languages, Frameworks, and Platforms",FALSE,"<p>SAS is a statistical software suite developed by SAS Institute for data management, advanced analytics, multivariate analysis, business intelligence, criminal investigation, and predictive analytics</p>",y
Shell Script,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>A shell script is a computer program designed to be run by the Unix shell, a command-line interpreter.</p>",n
MinIO,Explore,"Development, Test and Release Tools",TRUE,"<p>MinIO is a cloud native storage server compatible with the S3 protocol, released under Apache License v2. IIT uses Minio as an abstraction layer between applications and underlying storage services such as the Dell ECS Object Storage.</P>",y
Neo4j,Explore,"Development, Test and Release Tools",TRUE,"<p>Neo4j is a native graph database platform specifically optimized to map, store and traverse networks of highly connected data to reveal invisible contexts and hidden relationships. IIT is currently assessing Neo4j for a stream network graph model.</p>",n
SonarQube,Explore,"Development, Test and Release Tools",TRUE,"<p>SonarQube is an open-source platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities. IIT uses Sonarqube for code quality checking as part of the build process for container based applications.</P>",y
Amazon Web Services,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Amazon Web Services (AWS) is a provider of IaaS (Infrastructure-as-a-Service) and PaaS (Platform-as-a-Service) for cloud ecosystems, which can be combined to create a scalable cloud application without worrying about delays related to infrastructure provisioning (compute, storage, and network) and management. IIT is currently evaluating several public cloud services, including AWS.</p>",n
Azure Web Services,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Microsoft Azure, formerly known as Windows Azure, is Microsoft's public cloud computing platform. It provides a range of cloud services, including those for compute, analytics, storage and networking. IIT is currently evaluating several public cloud services, including Microsoft Azure. OCIO has also provisioned Azure on premise appliances for DBaaS workloads and select Azure Cloud services.</p>",y
Google Cloud,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Google Cloud is a public cloud computing platform offered by Google, providing compute, managed services, container and API platforms and more. IIT is currently evaluating several public cloud services, including Google Cloud.</p>",n
IBM Cloud,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>IBM Cloud is a public cloud computing platform offered by IBM, providing compute, managed services, container and API platforms and more. IIT is currently evaluating several public cloud services, including IBM Cloud.</p>",y
.Net Core,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>.NET Core is a free and open-source, managed computer software framework for Windows, Linux, and macOS operating systems. It is a cross-platform successor to.NET Framework.</p>",n
Quarkus,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Quarkus is a full-stack, Kubernetes-native Java framework made for Java virtual machines (JVMs) and native compilation, optimizing Java specifically for containers and enabling it to become an effective platform for serverless, cloud, and Kubernetes environments. IIT exploring use cases including in conjunction with GraalVM. Improve IIT context wording.</P>",y
Azure Storage Services,Explore,"Languages, Frameworks, and Platforms",TRUE,<p> Cloud file storage in Azure </p>,n
AWS Cloud Development Kit,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Many of our teams who are already on AWS have found <strong><a href=""https://docs.aws.amazon.com/cdk/latest/guide/home.html"">AWS Cloud Development Kit</a></strong> (AWS CDK) to be a sensible AWS default for enabling infrastructure provisioning. In particular, they like the use of first-class programming languages instead of configuration files which allows them to use existing tools, test approaches and skills. Like similar tools, care is still needed to ensure deployments remain easy to understand and maintain. The development kit currently supports <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a>, JavaScript, Python, Java, C# and .NET. New providers are being added to the CDK core. We've also used both AWS Cloud Development Kit and HashiCorp's <a href=""https://learn.hashicorp.com/tutorials/terraform/cdktf"">Cloud Development Kit for Terraform</a> to generate Terraform configurations and enable provisioning with the Terraform platform with success.</p>",y
Backstage,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We continue to see interest in and use of <strong><a href=""https://backstage.io/"">Backstage</a></strong> grow, alongside the adoption of developer portals, as organizations look to support and streamline their development environments. As the number of tools and technologies increases, some form of standardization is becoming increasingly important for consistency so that developers are able to focus on innovation and product development instead of getting bogged down with reinventing the wheel. Backstage is an open-source developer portal platform created by Spotify, it's based upon software templates, unifying infrastructure tooling and consistent and centralized technical documentation. The plugin architecture allows for extensibility and adaptability into an organization’s infrastructure ecosystem.</p>",n
Delta Lake,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p><strong><a href=""https://delta.io/"">Delta Lake</a></strong> is an <a href=""https://github.com/delta-io/delta"">open-source storage layer</a>, implemented by Databricks, that attempts to bring ACID transactions to big data processing. In our Databricks-enabled <a href=""/radar/techniques/data-lake"">data lake</a> or <a href=""/radar/techniques/data-mesh"">data mesh</a> projects, our teams continue to prefer using Delta Lake storage over the direct use of file storage types such <a href=""https://aws.amazon.com/s3/"">S3</a> or <a href=""https://azure.microsoft.com/en-au/services/storage/data-lake-storage/"">ADLS</a>. Of course this is limited to projects that use storage platforms that support <a href=""https://docs.delta.io/latest/delta-storage.html"">Delta Lake</a> when using <a href=""https://parquet.apache.org/"">Parquet</a> file formats. Delta Lake facilitates concurrent data read/write use cases where file-level transactionality is required. We find Delta Lake's seamless integration with Apache Spark <a href=""https://docs.databricks.com/delta/delta-batch.html"">batch</a> and <a href=""https://docs.databricks.com/delta/delta-streaming.html"">micro-batch</a> APIs greatly helpful, particularly features such as <a href=""https://databricks.com/blog/2019/02/04/introducing-delta-time-travel-for-large-scale-data-lakes.html"">time travel</a> — accessing data at a particular point in time or commit reversion — as well as <a href=""https://databricks.com/blog/2019/09/24/diving-into-delta-lake-schema-enforcement-evolution.html"">schema evolution</a> support on write; though there are some limitations on these features.</p>",y
Materialize,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p><strong><a href=""https://materialize.io/"">Materialize</a></strong> is a streaming database that enables you to do incremental computation without complicated data pipelines. Just describe your computations via standard SQL views and connect Materialize to the data stream. The underlying differential data flow engine performs incremental computation to provide consistent and correct output with minimal latency. Unlike traditional databases, there are no restrictions in defining these materialized views, and the computations are executed in real time. We've used Materialize, together with Spring Cloud Stream and Kafka, to query over streams of events for insights in a distributed event-driven system, and we quite like the setup.</p>",n
Snowflake,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Since we last mentioned <strong><a href=""https://www.snowflake.com/"">Snowflake</a></strong> in the Radar, we've gained more experience with it as well as with <a href=""/radar/techniques/data-mesh"">data mesh</a> as an alternative to data warehouses and lakes. Snowflake continues to impress with features like time travel, zero-copy cloning, data sharing and its marketplace. We also haven't found anything we don't like about it, all of which has led to our consultants generally preferring it over the alternatives. Redshift is moving toward storage and compute separation, which has been a strong point of Snowflake, but even with Redshift Spectrum it isn't as convenient and flexible to use, partly because it is bound by its Postgres heritage (we do still like <a href=""/radar/platforms/postgresql-for-nosql"">Postgres</a>, by the way). Federated queries can be a reason to go with Redshift. When it comes to operations, Snowflake is much simpler to run. <a href=""/radar/platforms/bigquery"">BigQuery</a>, which is another alternative, is very easy to operate, but in a multicloud setup Snowflake is a better choice. We can also report that we've used Snowflake successfully with <a href=""/radar/platforms/google-cloud-platform"">GCP</a>, <a href=""/radar/platforms/aws"">AWS</a>, and <a href=""/radar/platforms/azure"">Azure</a>.</p>",y
Variable fonts,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong>Variable fonts</strong> are a way of avoiding the need to find and include separate font files for different weights and styles. Everything is in one font file, and you can use properties to select which style and weight you need. While not new, we still see sites and projects that could benefit from this simple approach. If you have pages that are including many variations of the same font, we suggest trying out variable fonts.</p>",n
Apache Pinot,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://pinot.apache.org/"">Apache Pinot</a></strong> is a distributed OLAP data store, built to deliver real-time analytics with low latency. It can ingest from batch data sources (such as Hadoop HDFS, Amazon S3, Azure ADLS or Google Cloud Storage) as well as stream data sources (such as Apache Kafka). If the need is user-facing, low-latency analytics, SQL-on-Hadoop solutions don't offer the low latency that is needed. Modern OLAP engines like Apache Pinot (or <a href=""https://druid.apache.org/"">Apache Druid</a> and <a href=""https://clickhouse.tech/"">Clickhouse</a> among others) can achieve much lower latency and are particularly suited in contexts where fast analytics, such as aggregations, are needed on immutable data, possibly, with real-time data ingestion. Originally built by LinkedIn, Apache Pinot entered Apache incubation in late 2018 and has since added a plugin architecture and SQL support among other key capabilities. Apache Pinot can be fairly complex to operate and has many moving parts, but if your data volumes are large enough and you need low-latency query capability, we recommend you assess Apache Pinot.</p>",y
Bit.dev,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://bit.dev/"">Bit.dev</a></strong> is a cloud-hosted collaborative platform for UI components extracted, modularized and reused with <a href=""https://github.com/teambit/bit"">Bit</a>. <a href=""/radar/platforms/web-components-standard"">Web components</a> have been around for a while, but building a modern front-end application by assembling small, independent components extracted from other projects has never been easy. Bit was designed to let you do exactly that: extract a component from an existing library or project. You can either build your own service on top of Bit for component collaboration or use Bit.dev.</p>",n
DataHub,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>Since we first mentioned <a href=""/radar/techniques/data-discoverability"">data discoverability</a> in the Radar, LinkedIn has evolved <a href=""https://engineering.linkedin.com/blog/2016/03/open-sourcing-wherehows--a-data-discovery-and-lineage-portal"">WhereHows</a> to <strong><a href=""https://github.com/linkedin/datahub"">DataHub</a></strong>, the next generation platform that addresses data discoverability via an extensible metadata system. Instead of crawling and pulling metadata, DataHub adopts a push-based model where individual components of the data ecosystem publish metadata via an API or a stream to the central platform. This push-based integration shifts the ownership from the central entity to individual teams making them accountable for their metadata. As more and more companies are trying to become data driven, having a system that helps with data discovery and understanding data quality and lineage is critical, and we recommend you assess DataHub in that capacity.</p>",y
Feature Store,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://www.featurestore.org/"">Feature Store</a></strong> is an ML-specific data platform that addresses some of the key challenges we face today in feature engineering with three fundamental capabilities: (1) it uses managed data pipelines to remove struggles with pipelines as new data arrives; (2) catalogs and stores feature data to promote discoverability and collaboration of features across models; and (3) consistently serves feature data during training and interference. </p>

<p>Since Uber revealed their <a href=""https://eng.uber.com/michelangelo-machine-learning-platform/"">Michelangelo platform</a>, many organizations and startups have built their own versions of a feature store; examples include <a href=""https://github.com/logicalclocks/hopsworks"">Hopsworks</a>, <a href=""https://github.com/feast-dev/feast"">Feast</a> and <a href=""https://www.tecton.ai/"">Tecton</a>. We see potential in Feature Store and recommend you carefully assess it.</p>",n
JuiceFS,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/juicedata/juicefs"">JuiceFS</a></strong> is an open-source, distributed POSIX file system built on top of <a href=""https://www.thoughtworks.com/radar/platforms/redis"">Redis</a> and an object store service (for example, Amazon S3). If you're building new applications, then our recommendation has always been to interact directly with the object store without going through another abstraction layer. However, JuiceFS can be an option if you're migrating legacy applications that depend on traditional POSIX file systems to the cloud.</p>",y
Kafka API without Kafka,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>As more businesses turn to events as a way to share data among microservices, collect analytics or feed data lakes, <a href=""/radar/tools/apache-kafka"">Apache Kafka</a> has become a favorite platform to support an event-driven architectural style. Although Kafka was a revolutionary concept in scalable persistent messaging, a lot of moving parts are required to make it work, including ZooKeeper, brokers, partitions, and mirrors. While these can be particularly tricky to implement and operate, they do offer great flexibility and power when needed, especially at an industrial enterprise scale. Because of the high barrier to entry presented by the full Kafka ecosystem, we welcome the recent explosion of platforms offering the <strong>Kafka API without Kafka</strong>. Recent entries such as <a href=""https://github.com/streamnative/kop"">Kafka on Pulsar</a> and <a href=""/radar/platforms/redpanda"">Redpanda</a> offer alternative architectures, and <a href=""https://github.com/Azure/azure-event-hubs-for-kafka"">Azure Event Hubs for Kafka</a> provides some compatibility with Kafka producer and consumer APIs. Some features of Kafka, like the streams client library, are not compatible with these alternative brokers, so there are still reasons to choose Kafka over alternative brokers. It remains to be seen, however, if developers actually adopt this strategy or if it is merely an attempt by competitors to lure users away from the Kafka platform. Ultimately, perhaps Kafka's most enduring impact could be the convenient protocol and API provided to clients.</p>",n
